location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
RWA,False,False,Not provided,,,,,,1,900113,,3-month,456.63873,370.39053,122.975586,155,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900113,,dekad,44.819355,62.425377,73.88814,155,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900113,,1-month,136.61935,159.73871,85.96604,155,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900113,,3-month,442.30325,383.10883,115.252014,155,final,2022-03-21,2022-03-31
RWA,False,False,Not provided,,,,,,1,900113,,,,57.655914,59.691093,155,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900113,,1-month,137.08386,163.87592,84.13507,155,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900113,,3-month,460.30322,404.68753,113.57515,155,final,2022-04-01,2022-04-10
RWA,False,False,Not provided,,,,,,1,900113,,dekad,63.15484,54.26387,115.00235,155,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900113,,1-month,140.3742,174.34515,81.05834,155,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900113,,3-month,462.9936,425.6385,108.67435,155,final,2022-04-11,2022-04-20
RWA,False,False,Not provided,,,,,,1,900113,,dekad,37.109676,52.32387,73.45923,155,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900113,,1-month,132.66452,164.24365,81.34102,155,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900113,,3-month,452.21292,439.0811,102.957085,155,final,2022-04-21,2022-04-30
RWA,False,False,Not provided,,,,,,1,900113,,dekad,22.980644,47.216774,53.58555,155,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900113,,1-month,123.245155,153.80452,80.75661,155,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900113,,3-month,394.51614,448.39786,88.11602,155,final,2022-05-01,2022-05-10
RWA,False,False,Not provided,,,,,,1,900113,,dekad,45.11613,42.33355,105.87866,155,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900113,,1-month,105.20645,141.87419,75.03459,155,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900113,,3-month,363.4129,445.68042,81.745926,155,final,2022-05-11,2022-05-20
RWA,False,False,Not provided,,,,,,1,900113,,dekad,83.13548,37.89957,205.44608,155,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900113,,1-month,151.23225,127.44989,117.95574,155,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900113,,3-month,420.5161,451.43225,93.22656,155,final,2022-05-21,2022-05-31
RWA,False,False,Not provided,,,,,,1,900113,,dekad,7.0774193,16.384947,56.476265,155,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900113,,1-month,135.32904,96.618065,138.09457,155,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900113,,3-month,395.65805,414.2985,95.554375,155,final,2022-06-01,2022-06-10
RWA,False,False,Not provided,,,,,,1,900114,,dekad,19.79397,35.081406,61.859035,199,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900114,,1-month,120.85929,116.483246,103.60218,199,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900114,,3-month,378.27136,388.01407,97.521034,199,final,2022-01-01,2022-01-10
RWA,False,False,Not provided,,,,,,1,900114,,,,34.221104,190.35236,199,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900114,,1-month,147.41206,115.44942,126.536156,199,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900114,,3-month,387.92966,377.39566,102.75474,199,final,2022-01-11,2022-01-20
RWA,False,False,Not provided,,,,,,1,900114,,dekad,43.92462,37.99933,113.77996,199,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900114,,1-month,133.37689,107.30184,123.21871,199,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900114,,3-month,376.19598,369.66885,101.7421,199,final,2022-01-21,2022-01-31
RWA,False,False,Not provided,,,,,,1,900114,,dekad,48.758793,35.77923,131.82887,199,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900114,,1-month,162.3417,107.999664,148.09044,199,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900114,,3-month,382.1206,354.1628,107.78415,199,final,2022-02-01,2022-02-10
RWA,False,False,Not provided,,,,,,1,900114,,dekad,80.75377,42.139362,181.91542,199,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900114,,1-month,173.43718,115.91792,147.56885,199,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900114,,3-month,429.5628,351.84506,121.77913,199,final,2022-02-11,2022-02-20
RWA,False,False,Not provided,,,,,,1,900114,,dekad,34.417084,30.181408,112.03953,199,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900114,,1-month,163.92964,108.1,149.36308,199,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900114,,3-month,420.6633,333.41858,125.78012,199,final,2022-02-21,2022-02-28
RWA,False,False,Not provided,,,,,,1,900114,,dekad,34.160805,49.59213,71.73343,199,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900114,,1-month,149.33167,121.912895,121.60439,199,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900114,,3-month,432.53265,346.3958,124.51277,199,final,2022-03-01,2022-03-10
RWA,False,False,Not provided,,,,,,1,900114,,dekad,64.17085,40.83635,150.9083,199,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900114,,1-month,132.74875,120.609886,109.66394,199,final,2022-03-11,2022-03-20
RWA,False,False,Not provided,,,,,,1,900114,,3-month,453.59796,351.97723,128.467,199,final,2022-03-11,2022-03-20
